ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,IE_A,D_A,TC_A,VLC_A,BP_A,VR_A,AM_A,IE_B,D_B,TC_B,VLC_B,BP_B,VR_B,AM_B,crystal_system
3.25,3.25,24.35614422,24.35614422,2.34,2.34,0.8,0.707106781,240.0,185.507196,185.507196,0.928571429,1.12,499,10.07,0.12,5,3471.0,260,227.02775,499,10.07,0.12,5,3471.0,260,227.02775,Cubic
3.25,2.666666667,24.35614422,22.71762325,2.34,1.51,0.678571429,0.758259187,243.937999,185.507196,189.794791,0.642553191,1.12,499,10.07,0.12,5,3471.0,260,227.02775,731,10.501,400.0,11,2435.0,172,107.868,Orthorhombic
3.25,2.383333333,24.35614422,17.17139441,2.34,1.83,0.385714286,0.918509839,240.976591,185.507196,186.698599,0.943298969,1.12,499,10.07,0.12,5,3471.0,260,227.02775,578,2.698,27.0,3,2792.0,184,26.981538,Cubic
3.25,1.983333333,24.35614422,20.05150846,2.34,1.26,0.371428571,0.92807765,238.895024,185.507196,184.857116,0.65625,1.12,499,10.07,0.12,5,3471.0,260,227.02775,947,5.776,50.0,5,887.0,185,74.92159,Orthorhombic
3.25,2.4,24.35614422,24.6013613,2.34,0.9,0.664285714,0.764767849,239.813376,185.507196,185.9271,0.386266094,1.12,499,10.07,0.12,5,3471.0,260,227.02775,890,19.282,7.7,3,3129.0,166,196.96657,Orthorhombic
3.25,4.216666667,24.35614422,18.39587932,2.34,2.55,0.964285714,0.647966941,239.996031,185.507196,185.414775,0.927272727,1.12,499,10.07,0.12,5,3471.0,260,227.02775,503,3.594,35.0,4,2170.0,268,137.33,Orthorhombic
3.25,1.866666667,24.35614422,28.69757174,2.34,1.87,0.321428571,0.963194102,215.980119,185.507196,161.685279,1.010810811,1.12,499,10.07,0.12,5,3471.0,260,227.02775,900,1.85,200.0,2,2744.0,153,9.012183,Cubic
3.25,2.633333333,24.35614422,10.01747609,2.34,1.42,0.642857143,0.774743082,239.923824,185.507196,185.818524,0.617391304,1.12,499,10.07,0.12,5,3471.0,260,227.02775,703,9.807,400.0,7,1837.0,207,208.9804,Orthorhombic
3.25,1.45,24.35614422,43.19352465,2.34,1.4,0.192857143,1.06701143,203.920476,185.507196,149.8236,0.838323353,1.12,499,10.07,0.12,5,3471.0,260,227.02775,801,2.34,27.4,3,4273.0,192,10.81,Cubic
3.25,3.233333333,24.35614422,20.51140545,2.34,2.44,0.714285714,0.74246212,290.9991,185.507196,236.464176,1.016666667,1.12,499,10.07,0.12,5,3471.0,260,227.02775,590,1.54,200.0,2,1757.0,231,40.08,Orthorhombic
3.25,2.516666667,24.35614422,10.93119941,2.34,1.75,0.678571429,0.758259187,242.968671,185.507196,188.724375,0.744680851,1.12,499,10.07,0.12,5,3471.0,260,227.02775,868,8.69,120.0,12,1040.0,158,112.41,Orthorhombic
3.25,3.3,24.35614422,19.70198675,2.34,2.32,0.671428571,0.761499611,239.999964,185.507196,185.515584,0.991452991,1.12,499,10.07,0.12,5,3471.0,260,227.02775,534,6.77,23.0,6,3697.0,235,140.116,Cubic
3.25,2.083333333,24.35614422,32.52391464,2.34,1.56,0.45,0.877787728,215.945244,185.507196,161.780976,0.768472906,1.12,499,10.07,0.12,5,3471.0,260,227.02775,760,8.86,100.0,9,3200.0,192,58.93319,Trigonal
3.25,4.966666667,24.35614422,5.548013245,2.34,2.65,1.192857143,0.580426413,239.991351,185.507196,185.367975,0.863192182,1.12,499,10.07,0.12,5,3471.0,260,227.02775,376,1.873,58.0,3,944.0,343,132.905452,Tetragonal
3.25,3.133333333,24.35614422,30.99705666,2.34,2.22,0.707142857,0.745568656,239.998704,185.507196,185.556444,0.928870293,1.12,499,10.07,0.12,5,3471.0,260,227.02775,573,8.55,120.0,6,2840.0,229,162.5,Orthorhombic
3.25,3.15,24.35614422,33.14937454,2.34,2.2,0.635714286,0.77812624,239.998236,185.507196,185.5644,0.96069869,1.12,499,10.07,0.12,5,3471.0,260,227.02775,589,9.066,60.0,8,3141.0,235,167.26,Orthorhombic
3.25,3.3,24.35614422,20.14348786,2.34,2.24,0.757142857,0.724353288,239.9991,185.507196,185.548416,0.910569106,1.12,499,10.07,0.12,5,3471.0,260,227.02775,547,5.243,100.0,3,1802.0,233,151.964,Orthorhombic
3.25,3.216666667,24.35614422,29.17586461,2.34,2.24,0.671428571,0.761499611,239.9991,185.507196,185.548416,0.957264957,1.12,499,10.07,0.12,5,3471.0,260,227.02775,593,7.895,91.0,4,3546.0,237,157.25,Orthorhombic
3.25,2.033333333,24.35614422,22.28476821,2.34,1.43,0.45,0.877787728,239.925471,185.507196,185.815959,0.704433498,1.12,499,10.07,0.12,5,3471.0,260,227.02775,762,5.323,60.0,4,3106.0,211,72.63,Orthorhombic
3.25,2.916666667,24.35614422,46.10007358,2.34,2.14,0.507142857,0.844506677,239.9964,185.507196,185.587836,1.014218009,1.12,499,10.07,0.12,5,3471.0,260,227.02775,658,13.31,0.00943,12,4876.0,212,178.49,Orthorhombic
3.25,2.516666667,24.35614422,4.310522443,2.34,1.44,0.792857143,0.70992394,239.9271,185.507196,185.813376,0.573705179,1.12,499,10.07,0.12,5,3471.0,260,227.02775,1007,13.5336,79.0,4,629.88,209,200.59,Orthorhombic
3.25,3.166666667,24.35614422,32.13760118,2.34,2.21,0.642857143,0.774743082,239.998479,185.507196,185.560431,0.960869565,1.12,499,10.07,0.12,5,3471.0,260,227.02775,581,8.795,29.0,7,2973.0,216,164.93033,Orthorhombic
3.25,2.766666667,24.35614422,7.905629139,2.34,1.66,0.571428571,0.809958677,241.958384,185.507196,187.751996,0.754545455,1.12,499,10.07,0.12,5,3471.0,260,227.02775,558,7.31,29.0,13,2345.0,193,114.818,Orthorhombic
3.25,2.266666667,24.35614422,50.01839588,2.34,1.24,0.45,0.877787728,239.8911,185.507196,185.861616,0.610837438,1.12,499,10.07,0.12,5,3471.0,260,227.02775,880,22.56,31.0,17,4701.0,202,192.22,Orthorhombic
3.25,4.05,24.35614422,6.190765269,2.34,2.62,0.985714286,0.640974492,315.992944,185.507196,261.382204,0.942446043,1.12,499,10.07,0.12,5,3471.0,260,227.02775,419,0.862,140.0,1,1032.0,275,39.0983,Orthorhombic
3.25,3.25,24.35614422,21.90949227,2.34,2.34,0.735714286,0.733295921,240.0,185.507196,185.507196,0.962962963,1.12,499,10.07,0.12,5,3471.0,260,227.02775,538,6.145,17.0,5,3737.0,240,138.9055,Cubic
3.25,2.783333333,24.35614422,8.345290655,2.34,2.46,0.542857143,0.824957911,247.998704,185.507196,193.455356,1.138888889,1.12,499,10.07,0.12,5,3471.0,260,227.02775,520,0.534,84.8,1,1615.0,182,7.0,Cubic
3.25,2.9,24.35614422,35.61442237,2.34,2.17,0.614285714,0.788455349,239.997399,185.507196,185.576199,0.960176991,1.12,499,10.07,0.12,5,3471.0,260,227.02775,523,9.84,0.12,11,3675.0,221,174.9667,Orthorhombic
3.25,2.316666667,24.35614422,53.27446652,2.34,1.28,0.442857143,0.882133212,245.898876,185.507196,191.852544,0.633663366,1.12,499,10.07,0.12,5,3471.0,260,227.02775,684,10.22,94.0,6,4912.0,209,95.95,Orthorhombic
3.25,3.166666667,24.35614422,6.823951435,2.34,2.51,0.728571429,0.73632607,285.997399,185.507196,231.432991,1.037190083,1.12,499,10.07,0.12,5,3471.0,260,227.02775,496,0.971,85.0,1,1156.0,227,22.9897693,Cubic
3.25,2.433333333,24.35614422,50.58866814,2.34,1.84,0.485714286,0.856687062,244.9775,185.507196,190.695296,0.884615385,1.12,499,10.07,0.12,5,3471.0,260,227.02775,652,8.57,31.0,5,5017.0,207,92.90637,Orthorhombic
3.25,3.333333333,24.35614422,23.80426784,2.34,2.3,0.7,0.748701298,239.999856,185.507196,185.5239,0.966386555,1.12,499,10.07,0.12,5,3471.0,260,227.02775,533,7.007,94.0,8,3347.0,229,144.24,Cubic
3.25,2.916666667,24.35614422,16.86902134,2.34,2.08,0.614285714,0.788455349,239.993916,185.507196,185.610624,0.920353982,1.12,499,10.07,0.12,5,3471.0,260,227.02775,604,20.45,17.0,9,4175.0,221,237.048172,Cubic
3.25,2.283333333,24.35614422,60.81677704,2.34,1.24,0.407142857,0.90452238,239.8911,185.507196,185.861616,0.629441624,1.12,499,10.07,0.12,5,3471.0,260,227.02775,840,22.61,23.0,16,5285.0,216,190.2,Orthorhombic
3.25,3.0,24.35614422,33.94039735,2.34,1.94,0.65,0.771389216,239.9856,185.507196,185.661276,0.83982684,1.12,499,10.07,0.12,5,3471.0,260,227.02775,568,15.37,58.0,7,4026.0,243,231.03588,Cubic
3.25,2.916666667,24.35614422,11.04874908,2.34,1.11,0.707142857,0.745568656,239.863839,185.507196,185.889111,0.464435146,1.12,499,10.07,0.12,5,3471.0,260,227.02775,716,11.342,91.0,6,2022.0,202,207.0,Orthorhombic
3.25,3.35,24.35614422,24.19058131,2.34,2.31,0.692857143,0.751860375,239.999919,185.507196,185.519751,0.974683544,1.12,499,10.07,0.12,5,3471.0,260,227.02775,540,7.26,7.7,1,3273.0,236,144.91276,Cubic
3.25,3.333333333,24.35614422,22.1486387,2.34,2.31,0.657142857,0.768064262,239.999919,185.507196,185.519751,0.995689655,1.12,499,10.07,0.12,5,3471.0,260,227.02775,527,6.773,31.0,7,3793.0,239,140.90766,Cubic
3.25,2.316666667,24.35614422,37.55610743,2.34,1.16,0.478571429,0.860825647,239.874684,185.507196,185.878896,0.560386473,1.12,499,10.07,0.12,5,3471.0,260,227.02775,870,21.46,94.0,18,4098.0,209,195.08,Orthorhombic
3.25,2.916666667,24.35614422,16.79543782,2.34,2.16,0.592857143,0.799062372,239.997084,185.507196,185.580096,0.968609865,1.12,499,10.07,0.12,5,3471.0,260,227.02775,585,19.84,23.0,10,3501.0,243,244.0642,Cubic
3.25,5.05,24.35614422,5.747976453,2.34,2.62,1.085714286,0.610242839,236.992944,185.507196,182.382204,0.897260274,1.12,499,10.07,0.12,5,3471.0,260,227.02775,403,1.532,58.0,1,961.0,303,85.468,Orthorhombic
3.25,2.283333333,24.35614422,63.63134658,2.34,1.54,0.407142857,0.90452238,239.9424,185.507196,185.786556,0.781725888,1.12,499,10.07,0.12,5,3471.0,260,227.02775,760,21.02,17.0,15,5869.0,217,186.207,Orthorhombic
