Formula,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B,Cubic,Hexagonal,Monoclinic,Orthorhombic,Tetragonal,Triclinic,Trigonal
Ac2O3,Ac,Ac,3.25,3.25,24.35614422,24.35614422,2.34,2.34,0.8,0.707106781,240.0,185.507196,185.507196,0.928571429,1.12,1.12,1.12,1.1,1.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,1,0,0,0,0,0,0
AcAgO3,Ac,Ag,3.25,2.666666667,24.35614422,22.71762325,2.34,1.51,0.678571429,0.758259187,243.937999,185.507196,189.794791,0.642553191,1.12,1.12,0.95,1.1,1.93,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,160,731,10.501,400.0,11,1234.93,2435.0,124,172,107.868,0,0,0,1,0,0,0
AcAlO3,Ac,Al,3.25,2.383333333,24.35614422,17.17139441,2.34,1.83,0.385714286,0.918509839,240.976591,185.507196,186.698599,0.943298969,1.12,1.12,0.54,1.1,1.61,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,143,578,2.698,27.0,3,933.437,2792.0,121,184,26.981538,1,0,0,0,0,0,0
AcAsO3,Ac,As,3.25,1.983333333,24.35614422,20.05150846,2.34,1.26,0.371428571,0.92807765,238.895024,185.507196,184.857116,0.65625,1.12,1.12,0.52,1.1,2.18,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,119,947,5.776,50.0,5,1090.0,887.0,119,185,74.92159,0,0,0,1,0,0,0
AcAuO3,Ac,Au,3.25,2.4,24.35614422,24.6013613,2.34,0.9,0.664285714,0.764767849,239.813376,185.507196,185.9271,0.386266094,1.12,1.12,0.93,1.1,2.54,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,144,890,19.282,7.7,3,1337.33,3129.0,120,166,196.96657,0,0,0,1,0,0,0
AcBaO3,Ac,Ba,3.25,4.216666667,24.35614422,18.39587932,2.34,2.55,0.964285714,0.647966941,239.996031,185.507196,185.414775,0.927272727,1.12,1.12,1.35,1.1,0.89,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,253,503,3.594,35.0,4,1000.0,2170.0,120,268,137.33,0,0,0,1,0,0,0
AcBeO3,Ac,Be,3.25,1.866666667,24.35614422,28.69757174,2.34,1.87,0.321428571,0.963194102,215.980119,185.507196,161.685279,1.010810811,1.12,1.12,0.45,1.1,1.57,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,112,900,1.85,200.0,2,1560.0,2744.0,96,153,9.012183,1,0,0,0,0,0,0
AcBiO3,Ac,Bi,3.25,2.633333333,24.35614422,10.01747609,2.34,1.42,0.642857143,0.774743082,239.923824,185.507196,185.818524,0.617391304,1.12,1.12,0.9,1.1,2.02,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,158,703,9.807,400.0,7,544.55,1837.0,120,207,208.9804,0,0,0,1,0,0,0
AcBO3,Ac,B,3.25,1.45,24.35614422,43.19352465,2.34,1.4,0.192857143,1.06701143,203.920476,185.507196,149.8236,0.838323353,1.12,1.12,0.27,1.1,2.04,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,87,801,2.34,27.4,3,2348.0,4273.0,84,192,10.81,1,0,0,0,0,0,0
AcCaO3,Ac,Ca,3.25,3.233333333,24.35614422,20.51140545,2.34,2.44,0.714285714,0.74246212,290.9991,185.507196,236.464176,1.016666667,1.12,1.12,1.0,1.1,1.0,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,194,590,1.54,200.0,2,1115.0,1757.0,171,231,40.08,0,0,0,1,0,0,0
